id,name,vmax,mslp,category,ace,start_time,end_time,start_lat,start_lon
AL012000,UNNAMED,25,1008,-1,0.0,2000-06-07 18:00:00,2000-06-08 12:00:00,21.0,-93.0
AL022000,UNNAMED,30,1008,-1,0.0,2000-06-23 00:00:00,2000-06-25 18:00:00,9.5,-19.8
AL032000,ALBERTO,110,950,3,36.9,2000-08-03 18:00:00,2000-08-23 06:00:00,10.8,-18.0
AL042000,UNNAMED,30,1009,-1,0.0,2000-08-08 12:00:00,2000-08-11 12:00:00,28.2,-74.2
AL052000,BERYL,45,1007,0,0.9,2000-08-13 18:00:00,2000-08-15 18:00:00,22.5,-93.5
AL062000,CHRIS,35,1008,0,0.1,2000-08-17 12:00:00,2000-08-19 12:00:00,14.2,-51.9
AL072000,DEBBY,75,991,1,5.8,2000-08-19 18:00:00,2000-08-24 12:00:00,12.0,-44.5
AL082000,ERNESTO,35,1008,0,0.7,2000-09-01 12:00:00,2000-09-03 18:00:00,14.8,-45.2
AL092000,UNNAMED,30,1008,-1,0.0,2000-09-08 18:00:00,2000-09-09 12:00:00,27.5,-93.5
AL102000,FLORENCE,70,985,1,8.5,2000-09-10 18:00:00,2000-09-17 18:00:00,30.9,-70.9
AL112000,GORDON,70,981,1,3.4,2000-09-14 12:00:00,2000-09-18 12:00:00,19.8,-87.3
AL122000,HELENE,60,986,0,3.5,2000-09-15 12:00:00,2000-09-25 18:00:00,14.9,-52.2
AL132000,ISAAC,120,943,4,28.4,2000-09-21 12:00:00,2000-10-01 12:00:00,11.5,-23.0
AL142000,JOYCE,80,975,1,7.6,2000-09-25 12:00:00,2000-10-02 06:00:00,11.2,-29.6
AL152000,KEITH,120,939,4,12.2,2000-09-28 18:00:00,2000-10-06 12:00:00,16.1,-82.9
AL162000,LESLIE,40,1006,0,1.3,2000-10-04 12:00:00,2000-10-07 12:00:00,29.0,-81.4
AL172000,MICHAEL,85,965,2,5.6,2000-10-15 12:00:00,2000-10-19 18:00:00,30.0,-71.2
AL182000,NADINE,50,999,0,1.2,2000-10-19 12:00:00,2000-10-21 18:00:00,26.2,-59.9
AL192000,UNNAMED,55,976,0,3.1,2000-10-25 18:00:00,2000-10-29 02:00:00,24.5,-71.7
AL012001,ALLISON,50,1000,0,1.3,2001-06-05 12:00:00,2001-06-17 18:00:00,27.5,-95.0
AL022001,UNNAMED,25,1010,-1,0.0,2001-07-11 18:00:00,2001-07-12 18:00:00,10.9,-42.1
AL032001,BARRY,60,990,0,2.5,2001-08-02 12:00:00,2001-08-07 00:00:00,25.7,-84.8
AL042001,CHANTAL,60,997,0,4.6,2001-08-14 18:00:00,2001-08-22 12:00:00,12.8,-37.0
AL052001,DEAN,60,994,0,2.9,2001-08-22 12:00:00,2001-08-28 12:00:00,17.9,-64.3
AL062001,ERIN,105,968,3,20.1,2001-09-01 18:00:00,2001-09-15 00:00:00,12.5,-34.3
